UserId,ProductId,Rating,Timestamp
A39HTATAQ9V7YF,205616461,5,1369699200
A3JM6GV9MNOF9X,558925278,3,1355443200
A1Z513UWSAAO0F,558925278,5,1404691200
A1WMRR494NWEWV,733001998,4,1382572800
A3IAAVS479H7M7,737104473,1,1274227200
AKJHHD5VEH7VG,762451459,5,1404518400
A1BG8QW55XHN6U,1304139212,5,1371945600
A22VW0P4VZHDE3,1304139220,5,1373068800
A3V3RE4132GKRO,130414089X,5,1401840000
A327B0I7CYTEJC,130414643X,4,1389052800
A1BG8QW55XHN6U,130414643X,5,1372032000
AIFAAVTUYHEHB,130414643X,4,1378252800
AVOGV98AYOFG2,1304146537,5,1372118400
A22VW0P4VZHDE3,130414674X,5,1371686400
AVOGV98AYOFG2,1304168522,5,1372118400
A6R426V4J7AOM,1304168522,5,1373414400
A22VW0P4VZHDE3,1304174778,5,1372896000
AKGB62WGF35J8,1304174778,5,1372896000
A22VW0P4VZHDE3,1304174867,5,1373068800
A1BG8QW55XHN6U,1304174867,5,1372291200
A1BG8QW55XHN6U,1304174905,5,1372291200
A22VW0P4VZHDE3,1304196046,5,1372896000
A22VW0P4VZHDE3,1304196062,5,1372896000
A3A4C2K3TWDAO5,1304196070,1,1378425600
A3FV2Q7WPZMQPV,1304196135,5,1375488000
A22VW0P4VZHDE3,1304196135,5,1372896000
A1RXI3A1E99112,1304351475,5,1405296000
A26QL1FBQO9C0E,1304351475,5,1392076800
A19KEEVZYO1KO6,1304351475,4,1388707200
A1F6HRR58TQ2R0,1304351475,5,1394928000
AVQP6PO1NK0IJ,1304351475,1,1389657600
A32IWHU4TUEQZR,1304351475,4,1383523200
ASPJCWRXUOYYY,1304351475,5,1392681600
A1LAW520BT5AM0,1304351475,1,1392422400
A3SWQ2QQ7JBPFA,1304351475,5,1402790400
A2D7CPCZH5VFVZ,1304351475,1,1396742400
A274NIJWOQWE30,1304351475,5,1385251200
A2OMU0R0VM5O9I,1304351475,1,1397606400
A2YFDS6DYGFLVQ,1304351475,5,1405036800
AKA7T9TPISJ26,1304351475,1,1399680000
AN33X95J5460X,1304351475,4,1395187200
A2UEOW698J0SSR,1304351475,5,1397779200
A22ZFXQE8AWPEP,1304482596,1,1383177600
A6R426V4J7AOM,1304482596,5,1384992000
A9ZNJ2AXPO652,1304482634,2,1386028800
A169NC0ZW6XKRD,1304482685,3,1391558400
AZWRTJPN7NXT,1304482685,5,1383004800
A22ZFXQE8AWPEP,1304482685,1,1383177600
AH344ZAN5GNOM,1304482685,5,1391558400
A1YQUT1H2ENJ8U,1304482685,4,1383004800
A22VW0P4VZHDE3,1304482685,5,1384128000
A6R426V4J7AOM,1304488608,5,1384732800
A22ZFXQE8AWPEP,1304495396,1,1384992000
A6R426V4J7AOM,1304495396,5,1384992000
A3C744AK5A6MMI,1304495396,5,1385856000
A2H6SFTV2892Z8,1304511073,5,1384992000
A225CH9TTQPC4B,1304511073,1,1393891200
A2F6NPTGDMFXN9,1304511073,1,1385596800
A2H6SFTV2892Z8,1304511081,5,1384992000
A1DC0DSF3H3BCW,1304511081,3,1391817600
A3TR91FJ4MNFY9,1304511081,5,1391558400
A22ZFXQE8AWPEP,1304511111,1,1384992000
A3IANSH41YHFP1,1304511111,5,1389830400
A2NRG4NQMLHDJQ,1304511111,1,1385769600
A6R426V4J7AOM,130451112X,5,1383868800
A2H6SFTV2892Z8,1304511138,5,1384992000
A22ZFXQE8AWPEP,1304511138,1,1384992000
A32G79IU2NJ2HS,1304511138,1,1388188800
A2H6SFTV2892Z8,1304511146,5,1384992000
A3L2VTHD6W1E2Z,1304511146,2,1386201600
A3L2VTHD6W1E2Z,1304511154,1,1386201600
A1BG8QW55XHN6U,1304511154,5,1384732800
A2H6SFTV2892Z8,1304622193,5,1384992000
A22VW0P4VZHDE3,1304622193,5,1385856000
A2H6SFTV2892Z8,1304622223,5,1384992000
A6R426V4J7AOM,1304622428,5,1384992000
A15THVWZS6GQZY,1304622428,5,1388102400
A1BG8QW55XHN6U,1304622452,5,1385424000
A2H6SFTV2892Z8,1304622460,5,1384992000
A1VCW66KPTNUV8,1304622622,1,1385424000
AO5JB67V93FBL,1304622622,5,1388620800
A1GWD6BDCLGC82,1304622622,1,1388016000
AJ85OD05LNNUY,1304622657,2,1404172800
A1E5CS6UI1LWQF,1304622657,5,1390608000
A1SWCNGOR3GMOQ,1304622657,5,1393286400
A1BG8QW55XHN6U,1304622657,5,1385596800
A22ZFXQE8AWPEP,1304622665,1,1386028800
A22ZFXQE8AWPEP,1304624498,1,1385683200
A2IOZRH02O4C9S,1304624498,1,1392076800
A2H6SFTV2892Z8,1304624544,5,1384992000
A1RGXKJ4RFIOCX,1304624544,1,1394755200
A11OEJ4R1PDTLN,1304624544,1,1391385600
A22ZFXQE8AWPEP,1304651029,1,1386028800
A1BG8QW55XHN6U,1304651029,5,1385424000
A1BG8QW55XHN6U,1304651088,5,1385424000
A1BG8QW55XHN6U,130465110X,5,1385424000
A1BG8QW55XHN6U,1304651118,5,1385424000
A6R426V4J7AOM,1304651347,5,1385856000
A1BG8QW55XHN6U,1304665704,5,1385596800
AZ4FR14IPKML7,1304665720,5,1388966400
A251DS38L87XWF,1304665720,1,1391299200
A1BG8QW55XHN6U,1304665720,5,1385596800
A22ZFXQE8AWPEP,130466578X,1,1386028800
A1Z03R982SX8V2,1403790965,4,1389916800
A1ZY0K46FYOTB6,1403790965,5,1357603200
A3MAATZ091QZGE,1403790965,5,1372550400
A35XCJ5P6ZKRE9,1403790965,5,1340755200
A2B3YKKXVN28TW,1403790965,5,1385856000
A2RDR51FRB58LD,1403790965,5,1328918400
A2MSCG0YX85RL4,1403790965,5,1375833600
A2P8AUMTM6O605,1403790965,5,1403913600
A3SN6TKIXQI7RP,1403790965,5,1375488000
A1MLJHYS35C4X6,1403790965,5,1373414400
A2FTLN4PYZE7S6,1403790965,5,1403827200
ATPHIBSTV1NY5,1412759676,5,1356739200
A1QWS6V26JZ5OX,1412759676,5,1371340800
